policy_number,proposal_number,agent_id,business_type,sub_business_type,policy_type,risk_start_date,policy_end_date,login,post_year,post_month,source_type,transaction_issue_date,main_product,sub_package_code,max_package_code,gwp,upsell_amnt,proposal_received_date,cover_type,rn_amount,policy_status_code,sum_insured,initial_nol,month,cancel_decline_reason,cancel_decline_date,date_of_issuance,eldest_member_age,mode_of_payment,type_of_cheque,bank_name,receipt_no,receipt_status,cheque_no,transaction_no,underwriting_decision_desc,partner_rm_code,partner_branch_code,auto_renewal_flag,loan_no,account_no,loan_type,smartselect_flag,transaction_date,new_login_date,transaction_issuance_date,master_policy_number,per_mile_rate,business_source_type,initial_premium,benefitgroup_1,add_on_prmm_amnt_1,benefitgroup_2,add_on_prmm_amnt_2,benefitgroup_3,add_on_prmm_amnt_3,benefitgroup_4,add_on_prmm_amnt_4,benefitgroup_5,add_on_prmm_amnt_5,benefitgroup_6,add_on_prmm_amnt_6,benefitgroup_7,add_on_prmm_amnt_7,benefitgroup_8,add_on_prmm_amnt_8,benefitgroup_9,add_on_prmm_amnt_9,benefitgroup_10,add_on_prmm_amnt_10,sp_code,sp_name,product,customer_zone,customer_id,customer_type,payment_frequency,sub_package,branch_code,arm,agent_joining_date,vertical,sub_vertical,parent_bp_name,parent_bp_code,intermediary_category,agent_name,sub_sourcing_location,rm_id,rm_sm_name,eximius_status,tenure,nol,customer_name,process_status_description,partner_branch_name,partner_zone_name,branch_name,zone,src_typ_flg,load_date,run_day,agent_category,customer_city,customer_pin_code,total_gwp,igst_amount,cgst_amount,sgst_amount,ugst_amount,propero_y_flag,payment_ref,customer_gender,customer_dob,emailid,customer_contact_no,customer_pan,customer_address,bank_unique_code,portability_type,group_partner_cif_id,group_partner_branch_code,group_partner_rm_cd,customer_occupation,agent_state,initial_nol_main_member_count,online_offline_type,care_shield_amount,retail_previous_insurer_name,group_previous_insurer_name,previous_policy_number,previous_policy_expiry_date,pcrdate,stp_nstp,future_gwp,ckyc_number,proposal_modification_date,latest_rm_id,latest_rm_nm,run_year,run_month,email
POL-29711402,PROP-86926431,AGT-5103,Renewal,Retail,Individual,2025-10-23,2026-10-23,1.0,2025,10,Agency,2025-10-23,Health Secure,PKG-5,MAX-1,46484.0,2406.72,2025-10-16,Base,46484.0,ACTIVE,1000000,3,10,,,2025-10-23,18,Online,Local,Central Bank of India,RCPT-666269,Cleared,,TXN-7833399096,Approved,RM-42,BR-34,N,,WJUN1200471138267,,Y,2025-10-23,2025-10-16,2025-10-23,,,Direct,46484.0,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-415,Zachariah-Saini,Super Topup,South,CUST-615870,Individual,Annual,Gold,BR-67,ARM-5,2023-11-12,Agency,Direct,Sachdeva Ltd,BP-814,Agent,Vrishti Reddy,Patna,RM-34,Teerth Sawhney,Standard,1,5,Warinder Patil,Issued,Arrah Branch,East Zone,Ghaziabad Office,East,Digital,2025-11-24 10:29:49.442893,24,Advisor,Bally,171390,54851.12,8367.120000000003,0.0,0.0,0.0,Y,PAY-6629,Male,1994-06-19,jeremiahjha@example.org,3933529042,HQBIA2842W,"H.No. 240, Sama Street, Rajkot-758917",TBXZGB7T,,,,,Proofreader,Rajasthan,1,Online,0.0,,,POL-OLD-105,2025-10-22,,STP,46484.0,CKYC-4140460939,2025-10-16,RM-26,Varenya Ratti,2025,10,vishal.saxena@sentra.com
POL-14490391,PROP-65802771,AGT-8665,Renewal,Retail,Floater,2025-04-28,2026-04-28,1.0,2025,4,Agency,2025-04-28,Group Activ,PKG-5,MAX-4,40707.56,1941.47,2025-04-20,Comprehensive,40707.56,ACTIVE,500000,1,4,,,2025-04-28,39,CC,Outstation,Nainital Bank,RCPT-77060,Cleared,,TXN-3862321353,Approved,RM-94,BR-26,Y,,KTEC2499856984789,,Y,2025-04-28,2025-04-20,2025-04-28,,,Direct,40707.56,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-445,Chaudhary-Contractor,Senior Care,South,CUST-894217,Individual,Annual,Gold,BR-96,ARM-1,2023-07-07,Agency,Direct,"Kale, Sani and Seth",BP-371,Agent,Odika Nori,Silchar,RM-5,Girish Munshi,Standard,1,3,Dhriti Kumer,Issued,Jamnagar Branch,East Zone,Jabalpur Office,South,Digital,2025-11-24 10:29:49.449266,24,Advisor,Guwahati,615280,48034.92,7327.360000000001,0.0,0.0,0.0,Y,PAY-76869,Female,2005-02-28,jason65@example.net,494519832,JXHWR7315K,"99/80, Loke, Bokaro-455022",CEXUGBBF7NY,,,,,Personnel officer,Manipur,1,Online,0.0,,,POL-OLD-836,2025-04-27,,NSTP,40707.56,CKYC-1464137110,2025-04-20,RM-28,Devika Nair,2025,4,vishal.saxena@sentra.com
POL-76181117,PROP-80023800,AGT-9577,Portability,Retail,Individual,2025-09-03,2026-09-03,1.0,2025,9,Agency,2025-09-03,Senior Care,PKG-4,MAX-3,21516.94,4976.19,2025-08-23,Comprehensive,0.0,CANCELLED,300000,2,9,Non-Payment,2025-10-03,2025-09-03,44,DD,Outstation,Indian Bank,RCPT-926251,Cleared,,TXN-225953184,Approved,RM-78,BR-43,N,,FYTB1476797643815,,N,2025-09-03,2025-08-23,2025-09-03,,,Direct,21516.94,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-940,Choudhry-Mander,Health Secure,West,CUST-711163,Individual,Annual,Gold,BR-95,ARM-2,2023-08-11,Agency,Direct,Vyas-Morar,BP-208,Agent,Thomas Rana,Chennai,RM-3,Charvi Kakar,Standard,1,5,Aadhya Mann,Issued,Jamshedpur Branch,East Zone,Mehsana Office,South,Digital,2025-11-24 10:29:49.452548,24,Advisor,Akola,683885,25389.99,3873.050000000003,0.0,0.0,0.0,Y,PAY-9447,Female,1969-11-29,sarinanirudh@example.com,915969664160,SXFBG5297P,"16/45, Nath Ganj, Solapur-883552",DEIGGBLJ,Portability,,,,Call centre manager,Goa,1,Online,0.0,"Tak, Shetty and Sen",,,,,STP,21516.94,CKYC-1357806226,2025-08-23,RM-32,Ekansh Singh,2025,9,vishal.saxena@sentra.com
POL-40643870,PROP-36866075,AGT-5305,Renewal,Retail,Floater,2025-05-03,2026-05-03,1.0,2025,5,Digital,2025-05-03,Health Secure,PKG-5,MAX-4,13597.49,1599.07,2025-04-23,Comprehensive,13597.49,ACTIVE,1000000,4,5,,,2025-05-03,43,Cheque,Outstation,Canara Bank,RCPT-369038,Cleared,,TXN-2178995337,Approved,RM-29,BR-3,Y,,JOOB0541199867980,,N,2025-05-03,2025-04-23,2025-05-03,,,Direct,13597.49,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-771,Guha-Nagy,Group Activ,South,CUST-634394,Individual,Annual,Gold,BR-75,ARM-2,2022-10-18,Agency,Direct,Bhatia Group,BP-580,Agent,Hemal Chad,Thane,RM-32,Raksha Sarna,Standard,1,2,Januja Pradhan,Issued,Munger Branch,East Zone,Sonipat Office,West,Digital,2025-11-24 10:29:49.455766,24,Advisor,Thanjavur,518644,16045.04,2447.550000000001,0.0,0.0,0.0,Y,PAY-94861,Male,1998-07-18,gauribumb@example.net,2546291486,PQBGX5281B,"357, Kara Ganj, Bhatpara 418880",YTETGBYJKLK,,,,,Primary school teacher,Arunachal Pradesh,1,Offline,0.0,,,POL-OLD-138,2025-05-02,,STP,13597.49,CKYC-6059591606,2025-04-23,RM-47,Sachi Mane,2025,5,vishal.saxena@sentra.com
POL-60254091,PROP-31407343,AGT-6644,Portability,Retail,Floater,2025-08-25,2026-08-25,1.0,2025,8,Agency,2025-08-25,Health Secure,PKG-1,MAX-1,7330.7,4291.38,2025-08-23,Comprehensive,0.0,ACTIVE,1000000,4,8,,,2025-08-25,74,Cheque,Outstation,City Union Bank,RCPT-324500,Cleared,847903.0,TXN-7663811838,Approved,RM-69,BR-23,N,,GLVS7746886239240,,N,2025-08-25,2025-08-23,2025-08-25,,,Direct,7330.7,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-159,"Srivastava, Prabhu and Chauhan",Group Activ,North,CUST-745957,Individual,Annual,Gold,BR-38,ARM-4,2024-04-11,Agency,Direct,Mane Inc,BP-493,Agent,Anjali Sengupta,Junagadh,RM-16,Tristan Seshadri,Standard,1,1,Avi Sachdeva,Issued,Tenali Branch,North Zone,Noida Office,North,Digital,2025-11-24 10:29:49.456819,24,Advisor,Jodhpur,305152,8650.23,1319.5299999999995,0.0,0.0,0.0,Y,PAY-18035,Male,1947-04-24,wdewan@example.net,7901043289,PTHDP8614A,"H.No. 798, Varma Nagar, Asansol-609539",FVVCGB7XE78,Portability,,,,"Runner, broadcasting/film/video",Uttar Pradesh,1,Offline,0.0,"Bahri, Ramakrishnan and Singhal",,,,,NSTP,7330.7,CKYC-8776913529,2025-08-23,RM-25,Kashvi Kulkarni,2025,8,vishal.saxena@sentra.com
POL-47928328,PROP-9067690,AGT-9855,Portability,Retail,Group,2025-08-23,2026-08-23,1.0,2025,8,Banca,2025-08-23,Super Topup,PKG-3,MAX-2,36726.89,928.47,2025-08-14,Base,0.0,ACTIVE,1000000,2,8,,,2025-08-23,68,Online,Outstation,IDFC First Bank,RCPT-252838,Cleared,768544.0,TXN-7544878538,Approved,RM-82,BR-50,N,,EBLR5277221704303,,N,2025-08-23,2025-08-14,2025-08-23,,,Direct,36726.89,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-227,Mutti LLC,Health Secure,East,CUST-540418,Individual,Annual,Gold,BR-54,ARM-3,2022-06-27,Agency,Direct,"Solanki, Kulkarni and Bansal",BP-840,Agent,Bhavika Parikh,Bathinda,RM-3,Jeet Pillai,Standard,1,5,Mugdha Sarraf,Issued,Sonipat Branch,North Zone,Mehsana Office,North,Digital,2025-11-24 10:29:49.457796,24,Advisor,Arrah,161692,43337.73,6610.840000000004,0.0,0.0,0.0,Y,PAY-71496,Female,1963-05-28,buchfalak@example.net,4796275705,EQOZX9640G,"970, Bhavsar Street, Ambarnath-690927",LOYCGBI7XZU,Portability,,,,Health promotion specialist,Haryana,1,Offline,0.0,Bal Ltd,,,,,NSTP,36726.89,CKYC-5094037570,2025-08-14,RM-24,Jacob Lala,2025,8,vishal.saxena@sentra.com
POL-94494355,PROP-59897763,AGT-5866,Portability,Retail,Group,2025-09-02,2026-09-02,1.0,2025,9,Broker,2025-09-02,Super Topup,PKG-5,MAX-5,24593.52,4700.41,2025-08-24,Comprehensive,0.0,ACTIVE,500000,4,9,,,2025-09-02,27,Cheque,Local,Bandhan Bank,RCPT-641599,Cleared,,TXN-9816477929,Approved,RM-78,BR-31,N,,PGDE1727155188442,,N,2025-09-02,2025-08-24,2025-09-02,,,Direct,24593.52,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-101,"Ghosh, Pathak and Trivedi",Group Activ,East,CUST-235134,Individual,Annual,Gold,BR-74,ARM-1,2021-05-19,Agency,Direct,Dewan and Sons,BP-749,Agent,Atharv Patel,Bhind,RM-11,Gabriel Bhatti,Standard,1,3,Mitali Srinivas,Issued,Alappuzha Branch,South Zone,Cuttack Office,East,Digital,2025-11-24 10:29:49.460084,24,Advisor,Srinagar,785289,29020.35,4426.829999999998,0.0,0.0,0.0,Y,PAY-23850,Female,1993-04-07,rachitathakkar@example.org,918242253584,RIOTN1438I,"92/29, Nazareth, Bhopal 094396",PURJGBT4,Portability,,,,Financial risk analyst,Uttar Pradesh,1,Offline,0.0,"Ravi, Mishra and Setty",,,,,NSTP,24593.52,CKYC-8903351330,2025-08-24,RM-22,Nakul Sarraf,2025,9,vishal.saxena@sentra.com
POL-62336371,PROP-27383505,AGT-5683,New Business,Retail,Group,2025-04-24,2026-04-24,1.0,2025,4,Digital,2025-04-24,Super Topup,PKG-3,MAX-1,44827.35,3876.0,2025-04-17,Base,0.0,ACTIVE,300000,3,4,,,2025-04-24,67,Online,Local,IDBI Bank,RCPT-636129,Cleared,150647.0,TXN-7380312396,Approved,RM-89,BR-21,Y,,XLME5881537147321,,N,2025-04-24,2025-04-17,2025-04-24,,,Direct,44827.35,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-389,Mannan Group,Super Topup,North,CUST-906141,Individual,Annual,Gold,BR-79,ARM-5,2023-05-11,Agency,Direct,Dutta LLC,BP-837,Agent,Ranveer Dutta,Kottayam,RM-29,Wishi Morar,Standard,1,4,Arin Chana,Issued,Dibrugarh Branch,South Zone,New Delhi Office,West,Digital,2025-11-24 10:29:49.463601,24,Advisor,Ballia,4797,52896.27,8068.919999999998,0.0,0.0,0.0,Y,PAY-37453,Female,1978-09-16,sankarkrish@example.com,5650609835,GCWJR8416N,"H.No. 655, Pau Circle, Davanagere 800025",QOETGB6IUUK,,,,,"Nurse, learning disability",Punjab,1,Offline,0.0,,,,,,STP,44827.35,CKYC-9875136292,2025-04-17,RM-2,Yashica Upadhyay,2025,4,vishal.saxena@sentra.com
POL-95125446,PROP-75554415,AGT-4050,Portability,Retail,Individual,2025-06-05,2026-06-05,1.0,2025,6,Banca,2025-06-05,Super Topup,PKG-3,MAX-1,26256.31,2117.64,2025-05-23,Base,0.0,ACTIVE,500000,1,6,,,2025-06-05,54,Online,Outstation,HDFC Bank,RCPT-497960,Cleared,,TXN-3503614567,Approved,RM-4,BR-10,Y,,LKVD6940974993097,,N,2025-06-05,2025-05-23,2025-06-05,,,Direct,26256.31,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-704,Viswanathan Ltd,Super Topup,West,CUST-756215,Individual,Annual,Gold,BR-90,ARM-2,2023-05-17,Agency,Direct,Divan-Kibe,BP-556,Agent,Imaran Halder,Gandhidham,RM-39,Omya Doshi,Standard,1,5,Samar Roy,Issued,Ghaziabad Branch,South Zone,Kadapa Office,West,Digital,2025-11-24 10:29:49.464664,24,Advisor,Kishanganj,786527,30982.45,4726.139999999999,0.0,0.0,0.0,Y,PAY-69878,Male,1966-06-18,aishani97@example.org,914843443757,HKRIY5844Z,"H.No. 04, Pal Zila, Bardhaman 338484",DTXSGBPP,Portability,,,,Arts administrator,Sikkim,1,Online,0.0,"Kara, Kaul and Ben",,,,,NSTP,26256.31,CKYC-4725314249,2025-05-23,RM-38,Urmi Chaudhry,2025,6,vishal.saxena@sentra.com
POL-18450513,PROP-695441,AGT-7929,Renewal,Retail,Group,2025-07-30,2026-07-30,1.0,2025,7,Digital,2025-07-30,Health Secure,PKG-1,MAX-4,6073.14,355.24,2025-07-25,Comprehensive,6073.14,ACTIVE,300000,2,7,,,2025-07-30,22,CC,Outstation,UCO Bank,RCPT-426673,Cleared,,TXN-6338081696,Approved,RM-82,BR-33,N,,UGYJ5401938026206,,N,2025-07-30,2025-07-25,2025-07-30,,,Direct,6073.14,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-998,Grewal-Mann,Health Secure,North,CUST-919331,Individual,Annual,Gold,BR-60,ARM-4,2021-01-16,Agency,Direct,Chhabra-Nayak,BP-172,Agent,Suhani Viswanathan,Guntur,RM-24,Anjali Hans,Standard,1,5,Ganga Gaba,Issued,Bardhaman Branch,West Zone,Kanpur Office,West,Digital,2025-11-24 10:29:49.465624,24,Advisor,Sagar,296685,7166.31,1093.17,0.0,0.0,0.0,Y,PAY-11368,Female,1970-02-24,goyallogan@example.com,3046374549,SPDQH9045D,"84, Merchant Zila, Srikakulam 327279",NWRPGB8NPF7,,,,,Product manager,Mizoram,1,Online,0.0,,,POL-OLD-935,2025-07-29,,NSTP,6073.14,CKYC-7317619798,2025-07-25,RM-16,Isaac Bhatia,2025,7,vishal.saxena@sentra.com
POL-67845324,PROP-27133023,AGT-6453,Portability,Retail,Individual,2025-09-22,2026-09-22,1.0,2025,9,Digital,2025-09-22,Health Secure,PKG-2,MAX-3,39251.84,3267.51,2025-09-21,Base,0.0,ACTIVE,300000,4,9,,,2025-09-22,20,CC,Outstation,Union Bank of India,RCPT-172529,Cleared,,TXN-6529817193,Approved,RM-92,BR-12,N,,DVGW9718707286790,,Y,2025-09-22,2025-09-21,2025-09-22,,,Direct,39251.84,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-546,"Shere, Morar and Bains",Senior Care,North,CUST-415182,Individual,Annual,Gold,BR-48,ARM-4,2021-11-29,Agency,Direct,Kamdar PLC,BP-913,Agent,Chakradev Sampath,Rajkot,RM-20,Ekapad Sodhi,Standard,1,5,Bhavini Rege,Issued,Bhavnagar Branch,South Zone,Dindigul Office,East,Digital,2025-11-24 10:29:49.468479,24,Advisor,Sultan Pur Majra,618251,46317.17,7065.330000000002,0.0,0.0,0.0,Y,PAY-23392,Female,2007-06-12,iwadhwa@example.net,910047868633,MUWHC7524Z,"311, Bandi, Khora -306738",YYBEGB6S,Portability,,,,Facilities manager,Uttarakhand,1,Online,0.0,"Nagar, Nagi and Khalsa",,,,,STP,39251.84,CKYC-5244338653,2025-09-21,RM-41,Anvi Bhat,2025,9,vishal.saxena@sentra.com
POL-79412216,PROP-98678498,AGT-7021,Portability,Retail,Floater,2025-06-14,2026-06-14,1.0,2025,6,Broker,2025-06-14,Senior Care,PKG-1,MAX-4,20610.07,2005.01,2025-06-05,Base,0.0,ACTIVE,500000,3,6,,,2025-06-14,36,CC,Local,State Bank of India,RCPT-656401,Cleared,,TXN-7210176888,Approved,RM-7,BR-11,N,,RPBL6856624628733,,N,2025-06-14,2025-06-05,2025-06-14,,,Direct,20610.07,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-421,Dhawan-Sheth,Super Topup,East,CUST-959175,Individual,Annual,Gold,BR-87,ARM-1,2021-02-15,Agency,Direct,Saha-Wagle,BP-506,Agent,Lipika Kibe,Kurnool,RM-45,Farhan Sengupta,Standard,1,5,George Wason,Issued,Faridabad Branch,East Zone,Burhanpur Office,North,Digital,2025-11-24 10:29:49.469424,24,Advisor,Srinagar,983735,24319.88,3709.810000000001,0.0,0.0,0.0,Y,PAY-39739,Male,2005-03-10,kakarranveer@example.net,917393638546,QXGFD7854G,"556, Kant Nagar, Pune-899642",KHMSGBP5,Portability,,,,Statistician,Rajasthan,1,Online,0.0,"Nazareth, Kurian and Suresh",,,,,NSTP,20610.07,CKYC-6402059279,2025-06-05,RM-24,Indira Gara,2025,6,vishal.saxena@sentra.com
POL-73356206,PROP-65540707,AGT-2630,Renewal,Retail,Individual,2025-01-13,2026-01-13,1.0,2025,1,Digital,2025-01-13,Group Activ,PKG-1,MAX-5,46924.5,422.88,2024-12-31,Comprehensive,46924.5,ACTIVE,300000,1,1,,,2025-01-13,62,Cheque,Outstation,State Bank of India,RCPT-961438,Cleared,,TXN-4111301175,Approved,RM-4,BR-3,Y,,QBCV0062312038750,,N,2025-01-13,2024-12-31,2025-01-13,,,Direct,46924.5,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-595,"Subramanian, Sura and Babu",Super Topup,South,CUST-6933,Individual,Annual,Gold,BR-81,ARM-2,2023-01-09,Agency,Direct,Arora-Badal,BP-220,Agent,Bhavini Badal,Mangalore,RM-49,Gopal Viswanathan,Standard,1,4,Wridesh Handa,Issued,Raichur Branch,East Zone,Sikar Office,West,Digital,2025-11-24 10:29:49.470346,24,Advisor,Dindigul,793341,55370.91,8446.410000000003,0.0,0.0,0.0,Y,PAY-85686,Female,2007-05-16,chandernidra@example.com,8700217659,NSKER1803C,"90/25, Johal Nagar, Sikar 429396",MYXEGBF6WDG,,,,,Press sub,Haryana,1,Online,0.0,,,POL-OLD-464,2025-01-12,,NSTP,46924.5,CKYC-3602080228,2024-12-31,RM-22,Mekhala Narain,2025,1,vishal.saxena@sentra.com
POL-36685332,PROP-60471823,AGT-1349,Portability,Retail,Floater,2024-12-03,2025-12-03,1.0,2024,12,Banca,2024-12-03,Health Secure,PKG-4,MAX-2,17627.29,1355.63,2024-11-19,Comprehensive,0.0,ACTIVE,1000000,2,12,,,2024-12-03,53,DD,Outstation,Tamilnad Mercantile Bank,RCPT-239220,Cleared,373095.0,TXN-5907413963,Approved,RM-36,BR-27,N,,FVSV6194311426265,,N,2024-12-03,2024-11-19,2024-12-03,,,Direct,17627.29,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-593,Chhabra-Chand,Group Activ,East,CUST-5447,Individual,Annual,Gold,BR-92,ARM-5,2024-08-31,Agency,Direct,Parsa-Madan,BP-367,Agent,Kevin Chahal,Chinsurah,RM-8,Yauvani Reddy,Standard,1,1,Atharv Chakraborty,Issued,Begusarai Branch,West Zone,Kavali Office,West,Digital,2025-11-24 10:29:49.471279,24,Advisor,Kharagpur,466183,20800.2,3172.91,0.0,0.0,0.0,Y,PAY-74967,Male,1977-09-22,igara@example.com,4721264647,UOFMN1543M,"406, Rai Path, Gandhidham-692459",PKFMGBUS,Portability,,,,Recycling officer,Odisha,1,Online,0.0,Nanda Group,,,,,STP,17627.29,CKYC-7670238355,2024-11-19,RM-18,Ishaan Iyengar,2024,12,vishal.saxena@sentra.com
POL-73233096,PROP-24149421,AGT-8240,Portability,Retail,Floater,2025-06-27,2026-06-27,1.0,2025,6,Agency,2025-06-27,Health Secure,PKG-4,MAX-4,34482.08,3654.72,2025-06-20,Comprehensive,0.0,ACTIVE,1000000,2,6,,,2025-06-27,70,Cheque,Local,Bank of India,RCPT-999297,Cleared,762538.0,TXN-3042413312,Approved,RM-27,BR-27,Y,,OZJW1672434266179,,Y,2025-06-27,2025-06-20,2025-06-27,,,Direct,34482.08,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-564,Rattan-Warrior,Health Secure,North,CUST-531221,Individual,Annual,Gold,BR-21,ARM-3,2024-08-03,Agency,Direct,"Sahota, Bansal and Parsa",BP-172,Agent,Ikbal Kothari,Rourkela,RM-4,Mugdha Narula,Standard,1,4,Hitesh Anne,Issued,Rampur Branch,North Zone,Sasaram Office,East,Digital,2025-11-24 10:29:49.472255,24,Advisor,Amroha,679825,40688.85,6206.769999999997,0.0,0.0,0.0,Y,PAY-3219,Female,1975-04-24,ojasvi11@example.net,915457387571,TCZTH7751B,"23/828, Narayanan Street, Surendranagar Dudhrej 622660",OSNMGBAN,Portability,,,,"Engineer, land",Himachal Pradesh,1,Online,0.0,"Bhatnagar, Chaudry and Yadav",,,,,STP,34482.08,CKYC-5097953682,2025-06-20,RM-16,Ronith Shankar,2025,6,vishal.saxena@sentra.com
POL-90020021,PROP-65697427,AGT-2640,Renewal,Retail,Individual,2025-01-03,2026-01-03,1.0,2025,1,Digital,2025-01-03,Senior Care,PKG-4,MAX-2,16981.66,1186.29,2024-12-19,Base,16981.66,ACTIVE,300000,1,1,,,2025-01-03,72,Cheque,Local,ICICI Bank,RCPT-625969,Cleared,407517.0,TXN-6920516981,Approved,RM-58,BR-18,Y,,SDLL7924991251341,,N,2025-01-03,2024-12-19,2025-01-03,,,Direct,16981.66,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-267,Prakash Ltd,Super Topup,South,CUST-148225,Individual,Annual,Gold,BR-71,ARM-2,2022-12-09,Agency,Direct,Devi-Rajagopal,BP-786,Agent,Quincy Sur,Miryalaguda,RM-42,Vrishti Mani,Standard,1,5,Rachit Murty,Issued,Udupi Branch,East Zone,Secunderabad Office,North,Digital,2025-11-24 10:29:49.473192,24,Advisor,Shivpuri,368876,20038.36,3056.7000000000007,0.0,0.0,0.0,Y,PAY-89744,Male,1975-11-16,ksuresh@example.org,340438427,HKHRX9788I,"78/361, Mishra Ganj, Hospet 517133",WTUNGBKINND,,,,,"Teacher, early years/pre",Kerala,1,Offline,0.0,,,POL-OLD-638,2025-01-02,,NSTP,16981.66,CKYC-6581095906,2024-12-19,RM-27,Ekiya Master,2025,1,vishal.saxena@sentra.com
POL-35882178,PROP-69043610,AGT-2964,Portability,Retail,Individual,2025-03-08,2026-03-08,1.0,2025,3,Broker,2025-03-08,Senior Care,PKG-4,MAX-4,11268.36,2998.1,2025-02-21,Base,0.0,ACTIVE,300000,2,3,,,2025-03-08,45,Cheque,Local,Indian Overseas Bank,RCPT-142175,Cleared,,TXN-7669484644,Approved,RM-38,BR-3,N,,BIUE2325367294667,,N,2025-03-08,2025-02-21,2025-03-08,,,Direct,11268.36,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-194,Chander Group,Senior Care,North,CUST-540659,Individual,Annual,Gold,BR-52,ARM-2,2023-11-23,Agency,Direct,"Pillay, Sha and Sura",BP-155,Agent,Aarnav Chander,Secunderabad,RM-29,Mitali Kamdar,Standard,1,4,Siddharth Talwar,Issued,North Dumdum Branch,South Zone,Naihati Office,North,Digital,2025-11-24 10:29:49.474201,24,Advisor,Buxar,500170,13296.66,2028.2999999999995,0.0,0.0,0.0,Y,PAY-16284,Male,2003-06-14,ridhishan@example.org,3242415415,USWOB2064P,"H.No. 371, Kara Street, Bangalore 516271",MCXZGBGG,Portability,,,,Intelligence analyst,Kerala,1,Online,0.0,Devan-Raja,,,,,STP,11268.36,CKYC-9161793280,2025-02-21,RM-14,Ekapad Wali,2025,3,vishal.saxena@sentra.com
POL-81915661,PROP-87244236,AGT-6569,Portability,Retail,Floater,2025-06-17,2026-06-17,1.0,2025,6,Agency,2025-06-17,Group Activ,PKG-4,MAX-1,19962.6,42.17,2025-06-11,Base,0.0,CANCELLED,300000,1,6,Non-Payment,2025-07-17,2025-06-17,43,DD,Local,UCO Bank,RCPT-461477,Cleared,368247.0,TXN-3102821948,Approved,RM-89,BR-15,N,,UXEN9731121965652,,N,2025-06-17,2025-06-11,2025-06-17,,,Direct,19962.6,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-634,Malhotra Ltd,Group Activ,North,CUST-88341,Individual,Annual,Gold,BR-36,ARM-1,2021-11-20,Agency,Direct,"Mane, Bala and Mitra",BP-307,Agent,Zarna Upadhyay,Katni,RM-19,Chatura Khatri,Standard,1,2,Libni Chowdhury,Issued,Panchkula Branch,East Zone,Dehri Office,West,Digital,2025-11-24 10:29:49.475607,24,Advisor,Karimnagar,269658,23555.87,3593.2700000000004,0.0,0.0,0.0,Y,PAY-89514,Female,1955-10-13,bbora@example.net,910430068486,INJRF6618T,"856, Bhatti, Junagadh 031617",JVXVGBLH,Portability,,,,"Administrator, charities/voluntary organisations",Tamil Nadu,1,Offline,0.0,Apte and Sons,,,,,STP,19962.6,CKYC-1113457241,2025-06-11,RM-35,Jonathan Luthra,2025,6,vishal.saxena@sentra.com
POL-15845304,PROP-3940129,AGT-4704,Portability,Retail,Individual,2025-08-18,2026-08-18,1.0,2025,8,Banca,2025-08-18,Group Activ,PKG-5,MAX-3,33843.73,3644.12,2025-08-04,Base,0.0,ACTIVE,500000,3,8,,,2025-08-18,67,DD,Outstation,IDBI Bank,RCPT-846313,Cleared,,TXN-6138902282,Approved,RM-36,BR-21,Y,,QCIW9177850792524,,N,2025-08-18,2025-08-04,2025-08-18,,,Direct,33843.73,OPD Care,1500,,,,,,,,,,,,,,,,,,,SP-320,D’Alia and Sons,Health Secure,North,CUST-776764,Individual,Annual,Gold,BR-55,ARM-4,2022-12-06,Agency,Direct,Arora and Sons,BP-472,Agent,Urmi Patla,Jalgaon,RM-20,Balendra Saini,Standard,1,3,Ekanta Kothari,Issued,Imphal Branch,South Zone,Solapur Office,North,Digital,2025-11-24 10:29:49.476670,24,Advisor,Jamshedpur,238061,39935.6,6091.869999999995,0.0,0.0,0.0,Y,PAY-60960,Male,1999-06-16,falak18@example.com,915349493759,JAABO7383I,"H.No. 06, Chawla Road, Bettiah 670241",HQNWGBX3,Portability,,,,Chartered accountant,Odisha,1,Online,0.0,Tiwari and Sons,,,,,NSTP,33843.73,CKYC-1693725910,2025-08-04,RM-16,Radhika De,2025,8,vishal.saxena@sentra.com
